,Unamed,Places,latitude,longitude,Lieux
115,152,Canada,61.0666922,-107.991707,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1982_19"" target=""_blank"">La politique de la France à l’égard du Canada (1748-1760)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1998_26"" target=""_blank"">L’évolution des limites territoriales  du Canada français (1713-1763). Essai de géographie historique</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1954_12"" target=""_blank"">Le régime seigneurial au Canada de 1626 à 1760</a></i>"
116,154,Carcassonne,43.2130358,2.3491069,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1991_07"" target=""_blank"">La noblesse dans le diocèse de Carcassonne, du XVIe siècle à la Révolution</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1921_01"" target=""_blank"">Les châteaux des vicomtés de Béziers, Albi et Carcassonne pendant la croisade albigeoise (21 juillet 1209-juin 1211)</a></i>"
117,155,Carentan,49.30329,-1.2463444,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1972_12"" target=""_blank"">Les notables de l’élection de Carentan (1670-1790)</a></i>"
118,156,Carmes,43.5977639,1.4454502,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2000_13"" target=""_blank"">Les Carmes déchaussés de Paris et de Charenton, aux XVIIe et XVIIIe siècles</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1972_10"" target=""_blank"">Le couvent des Grands Carmes de Toulouse (1264-1810)</a></i>"
119,158,Carpentras,44.0554043,5.0487681,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1935_05"" target=""_blank"">Les évêques et le diocèse de Carpentras au XIIIe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1970_07"" target=""_blank"">Le rôle économique des juifs de Carpentras au début du XVe siècle</a></i>"
120,159,Castelnau-De-Lévis,43.9382,2.08188,
121,161,Castres,49.8044444,3.2383333,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1904_18"" target=""_blank"">Histoire de la draperie à Castres sous l’Ancien Régime</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1996_05"" target=""_blank"">La chambre mi-partie du parlement de Toulouse, dite chambre de l’Édit de Castres (1579-1679) : naissance et disparition  du privilège judiciaire des protestants en Languedoc</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1910_06"" target=""_blank"">Les institutions municipales de Castres du XIIe au XVIe siècle</a></i>"
122,162,Catalogne,41.8523094,1.5745043,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1900_03"" target=""_blank"">Études sur les relations de Louis XI avec Jean II d’Aragon et le principat de Catalogne (1461-1473)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2015_04"" target=""_blank"">Confiscations en Catalogne française (1642-1652). La faveur royale loin du roi</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2010_25"" target=""_blank"">Le consulat français de Catalogne (1679-1716). Une institution en construction.</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1886_02"" target=""_blank"">Relations politiques des comtes de Foix avec la Catalogne jusqu’au commencement du XIVe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1993_18"" target=""_blank"">Château, châtellenies en Nouvelle Catalogne dans la région de Lérida de 1149 à 1213</a></i>"
123,163,Caulaincourt,49.8650001,3.1069444,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2009_28"" target=""_blank"">L’ambassade de Caulaincourt à Saint-Pétersbourg (1807-1811). Représentation et négociations politiques durant l’alliance franco-russe</a></i>"
124,165,Chaillot,48.86891845,2.2921131852552343,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2002_15"" target=""_blank"">L’usine et la ville : le cas de l’ouest parisien au xixe siècle (Chaillot, Bas-Passy, Ternes, Batignolles)</a></i>"
125,166,Chalon-Sur-Saône,46.7888997,4.8529605,
126,167,Champagne,49.2577886,4.031926,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1857_05"" target=""_blank"">Le domaine, le revenu, le prix des choses dans le comté de Champagne en 1275-1287 et en 1340</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1907_08"" target=""_blank"">Étude sur les contestations de limites et les traités de neutralité entre la Franche-Comté et les terres françaises de Champagne et de Bourgogne jusqu’aux accords de 1612-1614</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1958_07"" target=""_blank"">Étude sur les frontières septentrionales et orientales du comté de Champagne (936-1284)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1998_12"" target=""_blank"">La mort en Champagne : étude de l’art funéraire aux XIIe et XIIIe siècles</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1944_11"" target=""_blank"">La vie rurale en Champagne méridionale aux XIIe et XIIIe siècles</a></i>"
127,168,Champsaur,44.5633477,6.083788,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1968_14"" target=""_blank"">Les lieux-dits d’Ancelle en Champsaur</a></i>"
128,171,Charente,45.6667902,0.0973050440984851,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1957_13"" target=""_blank"">Recherches sur les noms de lieux du canton de Saint-Amant-de-Boixe (Charente)</a></i>"
129,172,Charenton,48.8198479,2.4159508,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2000_13"" target=""_blank"">Les Carmes déchaussés de Paris et de Charenton, aux XVIIe et XVIIIe siècles</a></i>"
130,173,Charroux,46.1846945,3.1602582,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1923_12"" target=""_blank"">Les comtes de la Marche de la maison de Charroux (Xe siècle–1177)</a></i>"
131,174,Chartes,48.1692487,0.0612403,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1910_01"" target=""_blank"">Études sur le commerce et l’industrie à Chartes, depuis le xie siècle jusqu’à la fin du ministère de Colbert</a></i>"
132,175,Chartres,48.4438601,1.4881434,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1908_16"" target=""_blank"">La seigneurie de Montfort au diocèse de Chartres depuis l’origine jusqu’à la réunion au duché de Bretagne (Xe-XIVe siècle)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1968_04"" target=""_blank"">Les chanoines de Chartres au XVIIIe siècle (1746-1790)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1922_13"" target=""_blank"">Étude sur le Cartulaire historique de l’abbaye de Saint-Père de Chartres</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1885_02"" target=""_blank"">Étude sur Fulbert, évêque de Chartres de 1006 à 1028 et sa correspondance</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1913_02"" target=""_blank"">Étude historique et archéologique sur l’abbaye de Saint-Père de Chartres</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1901_10"" target=""_blank"">François de Vendôme, vidame de Chartres (15..-1560)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1922_14"" target=""_blank"">L’abbaye Saint-Père de Chartres. Étude archéologique sur l’église abbatiale et les bâtiments monastiques</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1899_05"" target=""_blank"">Les premières cathédrales de Chartres ( ?-1194)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1891_06"" target=""_blank"">Essai sur les comtes de Chartres, de Châteaudun, de Blois et de Troyes au IXe siècle</a></i>"
133,176,Chartreuse,43.7209618,1.490885,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1948_02"" target=""_blank"">La Chartreuse de Bourgfontaine-en-Valois, des origines à la Révolution</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1937_02"" target=""_blank"">La Chartreuse d Apponay au diocèse de Nevers (1185-1790)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1940_09"" target=""_blank"">Les relations de la Grande Chartreuse avec ses voisins de 1084 à la fin du Moyen Âge</a></i>"
134,177,Chassy-En-Morvan,47.1667189,3.8356769,
135,178,Chastel,45.0830584,3.3219803,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1944_15"" target=""_blank"">Pierre Chastellain, dit Vaillant. Étude et édition</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1926_14"" target=""_blank"">Vie politique de Tanguy du Chastel</a></i>"
136,179,Chauny,49.6148945,3.2189506,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1951_13"" target=""_blank"">Les institutions communales de la ville de Chauny (1166-1565)</a></i>"
137,180,Chazelles-En-Forez,45.6372708,4.3844846,
138,181,Chemillé,47.23005335,-0.7323695720236629,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1944_07"" target=""_blank"">Le rôle économique et social des prieurés angevins de Marmoutier. Étude suivie de l’édition du cartulaire de Saint-Pierre de Chemillé</a></i>"
139,182,Cherbourg,49.6425343,-1.6249565,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1961_18"" target=""_blank"">Le port et la ville de Cherbourg au XVIIIe siècle</a></i>"
140,184,Chine,35.000074,104.999927,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2000_34"" target=""_blank"">Les voyages français à la Chine (1720-1793) : vaisseaux et équipages</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2007_23"" target=""_blank"">Camille Gaston Kahn (1864-1928). Un consul français en Chine</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1964_16"" target=""_blank"">La connaissance de la Chine en France au XVIIe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2005_27"" target=""_blank"">Missionnaires et chrétientés en Chine dans la deuxième moitié du XVIIIe siècle.. L’exemple de la mission du Sichuan (1746-1769)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2012_24"" target=""_blank"">Œuvrer à la propagation de la foi en Chine et à Rome. Joachim Enjobert de Martiliat (1706-1755). Illustration d’une vie de missionnaire</a></i>"
141,185,Choiseul,48.0587993,5.5668464,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1964_07"" target=""_blank"">L’alliance franco-autrichienne sous les ministères de Choiseul (1756-1770)</a></i>"
142,186,Chypre,34.9823018,33.1451285,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1865_07"" target=""_blank"">Notice sur la vie et les ouvrages de Philippe de Maizières, chancelier de Chypre et Conseiller de Charles V; Étude sur le Songe du vieil pèlerin</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1997_06"" target=""_blank"">La mandragore du Levant : voyageurs et consuls français et britanniques à Chypre, à la fin de la période ottomane (1800-1878)</a></i>"
143,187,Châlon-Sur-Saône,46.7888997,4.8529605,
144,188,Châlons,45.4458331,4.9310763,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1995_32"" target=""_blank"">Clercs jurés, tabellions et notaires royaux à Châlons-sur-Marne au XVIe siècle, de la tonsure aux écritures</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1972_08"" target=""_blank"">Les routes de la généralité de Châlons-sur-Marne au XVIIIe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1956_05"" target=""_blank"">La vie économique et sociale à Châlons au début du XVIe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2005_12"" target=""_blank"">Art, artistes et commanditaires dans la région de Châlons (1470-1575)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1946_16"" target=""_blank"">Les hôpitaux de Châlons-sur-Marne jusqu’au XVIIe siècle</a></i>"
145,189,Châlons-Sur-Marne,48.9566218,4.3628851,
146,190,Châteaudun,48.0702298,1.3284948,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1972_03"" target=""_blank"">La Madeleine de Châteaudun : étude archéologique</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1891_06"" target=""_blank"">Essai sur les comtes de Chartres, de Châteaudun, de Blois et de Troyes au IXe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1955_06"" target=""_blank"">La vie économique à Châteaudun à l’époque de la guerre de Cent ans (1370-1453)</a></i>"
147,191,Châteauroux,46.8203785,1.6770956,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1957_14"" target=""_blank"">Le régime révolutionnaire à Châteauroux (1790-1795)</a></i>"
148,192,Châtelains,46.5542261,3.3341107,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1929_07"" target=""_blank"">La Châtellenie de Pont-de-Vaux d’après les comptes des Châtelains et des syndics (1252-1521)</a></i>"
149,193,Châtillon,46.6591772,5.7302769,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1928_07"" target=""_blank"">Gaucher de Châtillon, comte de Porcien et connétable de France (1250-1329)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1976_05"" target=""_blank"">Le comté de Blois sous les Châtillon. Édition du cartulaire de 1319 ou Nouveau cartulaire</a></i>"
150,195,Clermont,49.3780921,2.4141907,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1895_02"" target=""_blank"">Étude sur les coutumes de Clermont-en-Beauvaisis en 1496</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1937_16"" target=""_blank"">Jean II de Bourbon, comte de Clermont, duc de Bourbonnais et d’Auvergne et connétable de France (1426-1488)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1946_05"" target=""_blank"">La vie religieuse dans les diocèses de Bourges, Limoges et Clermont du Xe à la fin du XIIe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1973_02"" target=""_blank"">Le chapitre cathédral de Clermont des origines à 1560. Son organisation, sa vie, ses membres</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1947_16"" target=""_blank"">La seigneurie épiscopale de Clermont, des origines à 1357</a></i>"
151,196,Clermont-En-Beauvaisis,49.3780921,2.4141907,
152,197,Cluny,46.4339138,4.6575708,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2011_11"" target=""_blank"">Poétique de louange et d’éloge à Cluny au XIIe siècle. Édition critique des œuvres poétiques complètes de Pierre le Vénérable et de Pierre de Poitiers et du Mariale de Bernard de Morlas</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1927_03"" target=""_blank"">Jean, bâtard de Bourbon (1413?-1485), évêque du Puy (1443-1485)), abbé de Cluny 1456-1485)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1907_11"" target=""_blank"">Les paysans de Cluny</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1963_16"" target=""_blank"">L’office divin à Cluny et l’ordinaire de Raymond de Cadoène (1410)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1905_12"" target=""_blank"">L’abbaye de Cluny et le Saint-siège (910-fin du XIIIe siècle)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2014_23"" target=""_blank"">L'œuvre des haras, entre amélioration animale et création architecturale : l'implantation du dépôt d'étalons de Cluny (premier quart du xixe siècle)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1914_10"" target=""_blank"">Étude sur la langue des chartes de Cluny (Xe siècle). Contribution à la chronologie des phénomènes linguistiques romans</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1864_11"" target=""_blank"">Essai sur les causes de la grandeur de l’abbaye de Cluny</a></i>"
153,198,Collioure,42.52505,3.0831554,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1966_11"" target=""_blank"">La vie économique et sociale à Collioure de 1360 à 1490</a></i>"
154,199,Colmar,48.0777517,7.3579641,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1961_13"" target=""_blank"">La vie municipale à Colmar aux XIIIe et XIVe siècles</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1956_14"" target=""_blank"">Une famille bourgeoise d’Alsace : les Schneider de Colmar, de la fin du XVIe au début du XVIIIe siècle</a></i>"
155,200,Combraille,46.2489786,2.4199717,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1932_11"" target=""_blank"">La baronnie de Combraille sous les comtes d’Auvergne et les origines du pays de Franc-Alleu</a></i>"
156,202,Commercy,48.763203,5.5914753,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1932_09"" target=""_blank"">Histoire des seigneurs et de la seigneurie de Commercy des origines à 1415</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1885_17"" target=""_blank"">Recherches sur Robert Ier de Sarrebruck, damoiseau de Commercy (1414-1464)</a></i>"
157,203,Comminges,43.4537746,1.3927116,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1973_18"" target=""_blank"">Les Hospitaliers en Bas-Comminges et la commanderie de Poucharramet du XIIe au XVIe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1937_06"" target=""_blank"">La maîtrise particulière des eaux et forêts de Comminges avant 1789</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1964_12"" target=""_blank"">Documents linguistiques du Comminges et du Couserans</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1954_17"" target=""_blank"">Les États de Comminges aux XVIe et XVIIe siècles</a></i>"
158,204,Comtat-Venaissin,44.0516048,5.0540101,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1938_04"" target=""_blank"">Les communautés juives du Comtat-Venaissin et de l’État d’Avignon, d’après leurs statuts (1490-1790)</a></i>"
159,205,Conches,43.5450088,-0.1695404,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1921_03"" target=""_blank"">L’abbaye cistercienne de la Noë et l’organisation de son domaine entre Evreux et Conches (1166-1250)</a></i>"
160,207,Conflans,45.6715876,6.3968848,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1967_21"" target=""_blank"">Conflans en Savoie et son mandement du XIIe au XVe siècle</a></i>"
161,208,Congo,-0.7264327,15.6419155,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2006_01"" target=""_blank"">Congo an I. Décolonisation et politique francaise au Congo-Brazzaville (1958-1963)</a></i>"
162,209,Conon,47.4899419,1.5243199,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1880_11"" target=""_blank"">Conon de Béthune, trouvère (XIIe-XIIIe siècle)</a></i>"
163,210,Constantinople,41.0096334,28.9651646,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1982_13"" target=""_blank"">L’ambassade du comte de Saint-Priest à Constantinople (1768-1784)</a></i>"
164,212,Corbeil,48.5778324,4.4270627,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1880_02"" target=""_blank"">Introduction au cartulaire de Saint-Spire de Corbeil, suivie du cartulaire</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1948_13"" target=""_blank"">La prévôté de Corbeil, des origines à la Révolution</a></i>"
165,213,Corbie,49.9082911,2.5110728,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1895_09"" target=""_blank"">Étude sur le temporel de l’abbaye Saint-Pierre de Corbie, des origines au XVe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1898_10"" target=""_blank"">Examen critique des chartes mérovingiennes et carolingiennes de l’abbaye de Corbie (VIIe-Xe siècles)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1982_12"" target=""_blank"">Les chartes de l’abbaye Saint-Pierre de Corbie (988-1196)</a></i>"
166,214,Cormeilles-En-Vexin,49.11455945,2.0203613692673805,
167,215,Cornouaille,48.518568,-2.791071,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1972_11"" target=""_blank"">La vie des nobles en Cornouaille à la fin de l’Ancien Régime</a></i>"
168,217,Corrèze,45.342904700000005,1.8176424406120557,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1884_05"" target=""_blank"">Essai sur les églises romanes de l’ancien diocèse de Limoges (Creuse, Corrèze, Haute-Vienne). L’école limousine</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2006_22"" target=""_blank"">Mettre au monde. Sages-femmes et accouchées en Corrèze au xixe siècle</a></i>"
169,218,Corse,42.18808965,9.068413771427696,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1972_01"" target=""_blank"">Les statuts d’une colonie génoise en Corse : Bonifacio à la fin du Moyen Âge</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1922_11"" target=""_blank"">L’expédition de la Corse (1553-1559). Épisode de la rivalité franco-espagnole dans la Méditerranée occidentale</a></i>"
170,220,Cotentin,49.2416784,-1.3733180520025838,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1969_05"" target=""_blank"">Le déboisement et le défrichement de la forêt de Brix en Cotentin au XVIIIe siècle</a></i>"
171,221,Coucy,49.5042797,4.4570742,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1890_06"" target=""_blank"">Étude sur la vie d’Enguerran VII, sire de Coucy, comte de Soissons (1340 ?-1397)</a></i>"
172,222,Couserans,43.2666769,1.7637211,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1964_12"" target=""_blank"">Documents linguistiques du Comminges et du Couserans</a></i>"
173,223,Coutances,49.047792,-1.4454857,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2000_18"" target=""_blank"">Le chartrier de la cathédrale de Coutances (XIe-XIVe siècle). Étude et édition</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1895_08"" target=""_blank"">Essai historique sur l’Hôtel-Dieu de Coutances</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1972_22"" target=""_blank"">Coutances au XVIIIe siècle : vie urbaine et administration municipale</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1995_09"" target=""_blank"">Le chapitre cathédral de Coutances aux XVe et XVIe siècles</a></i>"
174,225,Creuse,46.0593485,2.04890101251091,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1884_05"" target=""_blank"">Essai sur les églises romanes de l’ancien diocèse de Limoges (Creuse, Corrèze, Haute-Vienne). L’école limousine</a></i>"
175,226,Crimée,45.28350435,34.20081877526554,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1964_13"" target=""_blank"">La fin de la présence militaire gênoise en Crimée d’après les archives gênoises (1453-1475)</a></i>"
176,227,Croatie,45.5643442,17.0118954,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1998_33"" target=""_blank"">Pouvoirs et société dans les confins de Dalmatie et de Croatie (1645-1699)</a></i>"
177,228,Crète,35.3084749,24.463320724202934,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1982_10"" target=""_blank"">Administration et personnels administratifs en Crète vénitienne au XVIe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2000_05"" target=""_blank"">Contribution à l’étude de l’Église en Crète vénitienne (xiiie-xive siècle)</a></i>"
178,230,Côte-D'Or,47.465503350000006,4.74812234575117,
179,233,Dauphiné,45.1875602,5.7357819,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1993_06"" target=""_blank"">Les états du Dauphiné de 1579 à 1628</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1935_23"" target=""_blank"">Les franchises des communautés du Haut-Dauphiné (1209-1349)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1958_03"" target=""_blank"">Le Parlement de Grenoble et la Réforme en Dauphiné du début du XVIe siècle à 1575</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1971_23"" target=""_blank"">L’architecture militaire en Dauphiné à la fin du Moyen Âge</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1965_04"" target=""_blank"">Les enquêtes de 1339 en Dauphiné et en Faucigny, intérêt démographique</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1950_07"" target=""_blank"">Les paysans du Bas-Dauphiné septentrional au XVIIIe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2009_11"" target=""_blank"">De l’agent seigneurial au fonctionnaire. Notaires, notariat et société en bas-Dauphiné (1770-1820)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1862_03"" target=""_blank"">Examen du traité qui réunit le Dauphiné à la France et des négociations qui l’ont précédé et suivi</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1912_09"" target=""_blank"">L’Inquisition en Dauphiné du XIVe siècle au début du règne de François Ier</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1988_22"" target=""_blank"">La taille en Dauphiné, du « transport » de 1349 à la révision générale de 1474-1476</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1864_12"" target=""_blank"">Essai sur la domination des empereurs d’Allemagne en Dauphiné et en Provence au Moyen Âge</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1868_04"" target=""_blank"">Essai sur l’administration de Louis XI en Dauphiné avant son avènement au trône</a></i>"
180,236,Delle,47.5075682,6.9977521,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1959_05"" target=""_blank"">La vie économique et sociale dans la seigneurie de Delle sous l’administration de Mazarin (1658-1789)</a></i>"
